,end,val,accn,fy,fp,form,filed,frame,ticker
138,2010-06-30,86113000000,0001193125-11-115186,2011.0,Q3,10-Q,2011-04-28,,MSFT
139,2010-06-30,86113000000,0001193125-11-200680,2011.0,FY,10-K,2011-07-28,CY2010Q2I,MSFT
140,2010-09-30,91540000000,0001193125-10-239825,2011.0,Q1,10-Q,2010-10-28,CY2010Q3I,MSFT
141,2010-12-31,92306000000,0001193125-11-015947,2011.0,Q2,10-Q,2011-01-27,CY2010Q4I,MSFT
142,2011-03-31,99727000000,0001193125-11-115186,2011.0,Q3,10-Q,2011-04-28,CY2011Q1I,MSFT
143,2011-06-30,108704000000,0001193125-11-200680,2011.0,FY,10-K,2011-07-28,,MSFT
144,2011-06-30,108704000000,0001193125-11-276022,2012.0,Q1,10-Q,2011-10-20,,MSFT
145,2011-06-30,108704000000,0001193125-12-026864,2012.0,Q2,10-Q/A,2012-01-27,,MSFT
146,2011-06-30,108704000000,0001193125-12-170665,2012.0,Q3,10-Q,2012-04-19,,MSFT
147,2011-06-30,108704000000,0001193125-12-316848,2012.0,FY,10-K,2012-07-26,CY2011Q2I,MSFT
148,2011-09-30,107415000000,0001193125-11-276022,2012.0,Q1,10-Q,2011-10-20,CY2011Q3I,MSFT
149,2011-12-31,112243000000,0001193125-12-026864,2012.0,Q2,10-Q/A,2012-01-27,CY2011Q4I,MSFT
150,2012-03-31,118010000000,0001193125-12-170665,2012.0,Q3,10-Q,2012-04-19,CY2012Q1I,MSFT
151,2012-06-30,121271000000,0001193125-12-316848,2012.0,FY,10-K,2012-07-26,,MSFT
152,2012-06-30,121271000000,0001193125-12-427209,2013.0,Q1,10-Q,2012-10-18,,MSFT
153,2012-06-30,121271000000,0001193125-13-022207,2013.0,Q2,10-Q,2013-01-24,,MSFT
154,2012-06-30,121271000000,0001193125-13-160748,2013.0,Q3,10-Q,2013-04-18,,MSFT
155,2012-06-30,121271000000,0001193125-13-310206,2013.0,FY,10-K,2013-07-30,,MSFT
156,2012-06-30,121271000000,0001193125-13-455144,2013.0,FY,8-K,2013-11-26,CY2012Q2I,MSFT
157,2012-09-30,121876000000,0001193125-12-427209,2013.0,Q1,10-Q,2012-10-18,CY2012Q3I,MSFT
158,2012-12-31,128683000000,0001193125-13-022207,2013.0,Q2,10-Q,2013-01-24,CY2012Q4I,MSFT
159,2013-03-31,134105000000,0001193125-13-160748,2013.0,Q3,10-Q,2013-04-18,CY2013Q1I,MSFT
160,2013-06-30,142431000000,0001193125-13-310206,2013.0,FY,10-K,2013-07-30,,MSFT
161,2013-06-30,142431000000,0001193125-13-409855,2014.0,Q1,10-Q,2013-10-24,,MSFT
162,2013-06-30,142431000000,0001193125-13-455144,2013.0,FY,8-K,2013-11-26,,MSFT
163,2013-06-30,142431000000,0001193125-14-018634,2014.0,Q2,10-Q,2014-01-23,,MSFT
164,2013-06-30,142431000000,0001193125-14-157088,2014.0,Q3,10-Q,2014-04-24,,MSFT
165,2013-06-30,142431000000,0001193125-14-289961,2014.0,FY,10-K,2014-07-31,CY2013Q2I,MSFT
166,2013-09-30,142348000000,0001193125-13-409855,2014.0,Q1,10-Q,2013-10-24,CY2013Q3I,MSFT
167,2013-12-31,153543000000,0001193125-14-018634,2014.0,Q2,10-Q,2014-01-23,CY2013Q4I,MSFT
168,2014-03-31,156119000000,0001193125-14-157088,2014.0,Q3,10-Q,2014-04-24,CY2014Q1I,MSFT
169,2014-06-30,172384000000,0001193125-14-289961,2014.0,FY,10-K,2014-07-31,,MSFT
170,2014-06-30,172384000000,0001193125-14-380252,2015.0,Q1,10-Q,2014-10-23,,MSFT
171,2014-06-30,172384000000,0001193125-15-020351,2015.0,Q2,10-Q,2015-01-26,,MSFT
172,2014-06-30,172384000000,0001193125-15-144151,2015.0,Q3,10-Q,2015-04-23,,MSFT
173,2014-06-30,172384000000,0001193125-15-272806,2015.0,FY,10-K,2015-07-31,,MSFT
174,2014-06-30,172384000000,0001193125-15-353706,2015.0,FY,8-K,2015-10-27,CY2014Q2I,MSFT
175,2014-09-30,169656000000,0001193125-14-380252,2015.0,Q1,10-Q,2014-10-23,CY2014Q3I,MSFT
